Stop_Code_LBSL,Stop_Name,Location_Easting,Location_Northing,Point_Letter,Road_Name,Borough,Borough_ID,Suggested_Locality,Locality_ID
26601,Abbey Wood Road,547362,178860,E,Knee Hill,Greenwich,6,Abbey Wood,263
26602,Greening Street,547150,178737,,Mcleod Road,Greenwich,6,Abbey Wood,263
26603,Greening Street,547092,178698,,Mcleod Road,Greenwich,6,Abbey Wood,263
26604,Mcleod Road / Bostall Lane,546900,178668,,Mcleod Road,Greenwich,6,Abbey Wood,263
26605,Mcleod Road / Bostall Lane,546808,178620,,Mcleod Road,Greenwich,6,Abbey Wood,263
26606,Bostall Gardens,546684,178596,,Mcleod Road,Greenwich,6,Abbey Wood,263
26607,Bostall Gardens,546620,178569,,Mcleod Road,Greenwich,6,Abbey Wood,263
26608,Cassilda Road,546410,178519,,Basildon Road,Greenwich,6,Abbey Wood,263
26609,Cassilda Road,546417,178498,,Basildon Road,Greenwich,6,Abbey Wood,263
29363,Eynsham Drive / Blithdale Road,546438,178841,,Eynsham Drive,Greenwich,6,Abbey Wood,263
29364,Eynsham Drive / Blithdale Road,546448,178827,,Eynsham Drive,Greenwich,6,Abbey Wood,263
33040,Harrow Manorway / Yarnton Way,547347,179498,B,Harrow Manor Way,Bexley,18,Abbey Wood,263
33041,Overton Road,547358,179302,BA,Harrow Manor Way,Bexley,18,Abbey Wood,263
33045,Harrow Manorway / Lensbury Way,547341,179416,A,Harrow Manor Way,Greenwich,6,Abbey Wood,263
34612,Hartslock Drive,547816,179628,,Yarnton Way,Bexley,18,Abbey Wood,263
34815,Limestone Walk,547884,179651,,Yarnton Way,Bexley,18,Abbey Wood,263
34816,Limestone Walk,547939,179634,,Yarnton Way,Bexley,18,Abbey Wood,263
34817,The Business Academy,548222,179547,,Yarnton Way,Bexley,18,Abbey Wood,263
34818,The Business Academy,548176,179549,,Yarnton Way,Bexley,18,Abbey Wood,263
35309,Harrow Manorway / Abbey Wood Station #,547430,179022,D,Harrow Manor Way,Bexley,18,Abbey Wood,263
BP288,Woodhurst Road,546258,178750,,Blithdale Road,Greenwich,6,Abbey Wood,263
BP289,Brookdene Road,546087,178737,WA,Blithdale Road,Greenwich,6,Abbey Wood,263
BP328,Brookdene Road,546041,178744,M,Blithdale Road,Greenwich,6,Abbey Wood,263
BP356,Woodhurst Road,546284,178689,,Woodhurst Road,Greenwich,6,Abbey Wood,263
BP371,Sedgemere Road,547401,179242,P,Sedgemere Road,Bexley,18,Abbey Wood,263
BP372,Overton Road,547379,179281,N,Overton Road,Bexley,18,Abbey Wood,263
BP374,Lanridge Road,547784,179103,,Alsike Road,Bexley,18,Abbey Wood,263
BP375,Buckwheat Court,547956,179115,,Alsike Road,Bexley,18,Abbey Wood,263
BP376,Buckwheat Court,547963,179107,,Alsike Road,Bexley,18,Abbey Wood,263
BP377,Lanridge Road,547728,179086,,Alsike Road,Bexley,18,Abbey Wood,263
BP5401,Parkway,548292,179409,,Alsike Road,Bexley,18,Abbey Wood,263
BP5402,Parkway,548274,179357,,Alsike Road,Bexley,18,Abbey Wood,263
TS0014,Abbey Wood Station,547384,179050,,Harrow Manor Way,Bexley,18,Abbey Wood,263
1597,Bromyard Avenue,521384,180098,VT,The Vale,Ealing,27,Acton,288
1598,Bromyard Avenue,521453,180082,VL,The Vale,Ealing,27,Acton,288
2036,Denehurst Gardens,519648,180240,B,Uxbridge Road,Ealing,27,Acton,288
2037,Acton Fire Station,519685,180172,Q,Gunnersbury Lane,Ealing,27,Acton,288
2038,Steyne Road,519887,180197,C,Acton High Street,Ealing,27,Acton,288
2185,East Acton Lane,520993,180064,VR,The Vale,Ealing,27,Acton,288
2186,East Acton Lane,521125,180063,VN,The Vale,Ealing,27,Acton,288
3033,Second Avenue,521651,180102,VU,The Vale,Ealing,27,Acton,288
3034,Third Avenue,521632,180084,VK,The Vale,Ealing,27,Acton,288
3035,Larden Road,521244,180086,VS,The Vale,Ealing,27,Acton,288
3036,Larden Road,521255,180073,VM,The Vale,Ealing,27,Acton,288
3039,Acton Park,520818,180052,VP,The Vale,Ealing,27,Acton,288
3040,Acton Park,520788,180037,VQ,The Vale,Ealing,27,Acton,288
3041,Acton Central Station #,520658,180055,H,The Vale,Ealing,27,Acton,288
3042,Acton Central Station #,520576,180044,J,The Vale,Ealing,27,Acton,288
3043,Acton Old Town Hall,520353,180069,F,Acton High Street,Ealing,27,Acton,288
3044,Acton Old Town Hall,520238,180061,G,Acton High Street,Ealing,27,Acton,288
11514,Acton Park / Greenview Close,521054,180131,EW,East Acton Lane,Ealing,27,Acton,288
11515,Acton Park / Greenview Close,521071,180115,EY,East Acton Lane,Ealing,27,Acton,288
20701,Acacia Road,520159,180836,,Horn Lane,Ealing,27,Acton,288
20702,Acacia Road,520145,180766,,Horn Lane,Ealing,27,Acton,288
27522,Creswick Road,520109,180686,,Horn Lane,Ealing,27,Acton,288
27523,Creswick Road,520095,180576,,Horn Lane,Ealing,27,Acton,288
27524,Faraday Road,520221,180949,,Horn Lane,Ealing,27,Acton,288
27525,Faraday Road,520231,181004,,Horn Lane,Ealing,27,Acton,288
34178,Denehurst Gardens,519631,180227,A,Uxbridge Road,Ealing,27,Acton,288
BP1808,Goldsmith Close,520994,180455,EZ,East Acton Lane,Ealing,27,Acton,288
CW63,Rosemont Road,519954,180349,N,Steyne Road,Ealing,27,Acton,288
CW64,Rosemont Road,519955,180375,O,Steyne Road,Ealing,27,Acton,288
R0461,Acton Market Place,520033,180339,M,Horn Lane,Ealing,27,Acton,288
R0742,King Street,519998,180152,D,Acton High Street,Ealing,27,Acton,288
19801,Wolsey Crescent,538059,162652,T,Montacute Road,Croydon,20,Addington,409
19802,Grenville Road,538182,162456,U,Montacute Road,Croydon,20,Addington,409
20151,Fieldway Tram Stop >T<,537741,163086,FA,Lodge Lane,Croydon,20,Addington,409
25588,Salcot Crescent,538235,162273,E,Salcot Crescent,Croydon,20,Addington,409
25754,Central Parade,538431,161988,K,Central Parade,Croydon,20,Addington,409
25755,St Edward'S Church,538559,161960,H,Arnhem Drive,Croydon,20,Addington,409
25756,New Addington Baptist Church,538786,161900,,Arnhem Drive,Croydon,20,Addington,409
25757,New Addington Baptist Church,538709,161924,J,Arnhem Drive,Croydon,20,Addington,409
25758,Calley Down Crescent,539065,161856,,Arnhem Drive,Croydon,20,Addington,409
25759,Calley Down Crescent,539036,161840,,Arnhem Drive,Croydon,20,Addington,409
25760,King Henry'S Drive / Homestead Way,539328,161591,,King Henry'S Drive,Croydon,20,Addington,409
25761,King Henry'S Drive / Homestead Way,539309,161643,,King Henry'S Drive,Croydon,20,Addington,409
27754,Frimley Close,538635,163328,,Headley Drive,Croydon,20,Addington,409
27755,Frimley Close,538608,163372,,Headley Drive,Croydon,20,Addington,409
27756,Goldcrest Community Centre,538665,163118,,Goldcrest Way,Croydon,20,Addington,409
27757,Goldcrest Community Centre,538654,163150,,Goldcrest Way,Croydon,20,Addington,409
27758,Goldcrest Way / King Henry'S Drive,538644,162911,,Goldcrest Way,Croydon,20,Addington,409
27759,Goldcrest Way / King Henry'S Drive,538642,162941,,Goldcrest Way,Croydon,20,Addington,409
27762,New Addington Tram Stop >T<,538150,162337,B,Tram Stop Slip Road,Croydon,20,Addington,409
27763,Homestead Way / Milne Park,539107,161483,,Homestead Way,Croydon,20,Addington,409
33491,Fieldway,537553,163406,FH,Lodge Lane,Croydon,20,Addington,409
33659,Applegarth,537682,163430,FE,Fieldway,Croydon,20,Addington,409
33660,Applegarth,537697,163425,FD,Fieldway,Croydon,20,Addington,409
33661,The Coppins,537928,163634,,Fieldway,Croydon,20,Addington,409
33663,Foxcombe,537907,163761,,Fieldway,Croydon,20,Addington,409
33664,Foxcombe,537844,163767,,Fieldway,Croydon,20,Addington,409
33665,North Walk,537891,163997,,Fieldway,Croydon,20,Addington,409
33666,North Walk,537880,163967,,Fieldway,Croydon,20,Addington,409
33671,Merrow Way,538430,163521,,Merrow Way,Croydon,20,Addington,409
33672,Merrow Way,538397,163558,,Merrow Way,Croydon,20,Addington,409
BP1626,Bothwell Road,538476,162540,,Gascoigne Road,Croydon,20,Addington,409
BP1627,Walsingham Road,538368,162357,F,Gascoigne Road,Croydon,20,Addington,409
BP1628,Wolsey Crescent,538545,162781,,Gascoigne Road,Croydon,20,Addington,409
BP1629,Frensham Drive,538132,163350,,Headley Drive,Croydon,20,Addington,409
BP1630,Dunley Drive,537919,163203,FB,Headley Drive,Croydon,20,Addington,409
BP1631,Ivers Way,537760,163158,FC,Headley Drive,Croydon,20,Addington,409
BP1632,Netley Close,538253,163420,,Headley Drive,Croydon,20,Addington,409
BP1633,Wolsey Crescent,538544,162756,,Gascoigne Road,Croydon,20,Addington,409
BP1634,Walsingham Road,538436,162441,G,Gascoigne Road,Croydon,20,Addington,409
BP2008,Meridian High School,539342,161480,,King Henry'S Drive,Croydon,20,Addington,409
BP2015,Meridian High School,539348,161495,,King Henry'S Drive,Croydon,20,Addington,409
BP2327,Addington Village Interchange >T<,537064,163772,D,Addington Village Interchange,Croydon,20,Addington,409
BP2328,Addington Village Interchange <T>,537083,163770,C,Addington Village Interchange,Croydon,20,Addington,409
BP2329,Addington Village Interchange,537106,163768,B,Addington Village Interchange,Croydon,20,Addington,409
BP2330,Addington Village Interchange >T<,537127,163759,A,Addington Village Interchange,Croydon,20,Addington,409
BP2331,Addington Village Interchange >T<,537089,163762,E,Addington Village Interchange,Croydon,20,Addington,409
BP2430,New Addington Tram Stop >T<,538134,162284,A,Parkway,Croydon,20,Addington,409
BP2431,New Addington Tram Stop >T<,538192,162301,D,Parkway,Croydon,20,Addington,409
BP2444,Fieldway Tram Stop >T<,537688,163187,FJ,Lodge Lane,Croydon,20,Addington,409
BP2445,New Addington Tram Stop >T<,538157,162329,C,Tram Stop Slip Road,Croydon,20,Addington,409
BP2517,Kestrel Way,538767,162820,,King Henry'S Drive,Croydon,20,Addington,409
BP2518,Redstart Close,539048,162111,,King Henry'S Drive,Croydon,20,Addington,409
BP2519,Redstart Close,539026,162144,,King Henry'S Drive,Croydon,20,Addington,409
BP2520,Vulcan Way,538983,162362,,King Henry'S Drive,Croydon,20,Addington,409
BP2521,Kestrel Way,538717,162839,,King Henry'S Drive,Croydon,20,Addington,409
BP4425,Brierley,537860,163542,,Fieldway,Croydon,20,Addington,409
BP5125,Homestead Way / Milne Park,539077,161478,,Homestead Way,Croydon,20,Addington,409
BP6048,Vulcan Way,539005,162401,,King Henry'S Drive,Croydon,20,Addington,409
BP6054,Warbank Crescent,539193,161838,,King Henry'S Drive,Croydon,20,Addington,409
BP6055,Warbank Crescent,539248,161796,,King Henry'S Drive,Croydon,20,Addington,409
BP6109,Central Parade,538425,162063,,Central Parade,Croydon,20,Addington,409
R0522,Betchworth Way,538052,162806,R,King Henry'S Drive,Croydon,20,Addington,409
W5,Tilford Avenue,538312,162906,,King Henry'S Drive,Croydon,20,Addington,409
W6,Betchworth Way,538136,162842,S,King Henry'S Drive,Croydon,20,Addington,409
1845,Canning Road,533653,166209,AA,Lower Addiscombe Road,Croydon,20,Addiscombe,228
1846,Canning Road,533557,166229,AQ,Lower Addiscombe Road,Croydon,20,Addiscombe,228
1847,Morland Road,533353,166289,,Lower Addiscombe Road,Croydon,20,Addiscombe,228
1848,Lower Addiscombe Road / Davidson Road,533149,166360,,Lower Addiscombe Road,Croydon,20,Addiscombe,228
9399,Ashburton Road,534022,165756,C,Addiscombe Road,Croydon,20,Addiscombe,228
9400,Ashburton Road,534136,165697,T,Addiscombe Road,Croydon,20,Addiscombe,228
9807,Northway Road,533972,166759,,Morland Road,Croydon,20,Addiscombe,228
9808,Northway Road,533988,166790,,Morland Road,Croydon,20,Addiscombe,228
9811,Parkview Road,534408,166512,AD,Lower Addiscombe Road,Croydon,20,Addiscombe,228
9812,Parkview Road,534443,166529,AL,Lower Addiscombe Road,Croydon,20,Addiscombe,228
16631,Davidson Road,533084,166369,,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17338,Ashburton Park,534831,166870,WQ,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17339,Ashburton Park,534785,166816,WS,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17340,Brockenhurst Road,534685,166677,AK,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17341,Brockenhurst Road,534638,166656,AE,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17342,Addiscombe Tram Stop >T<,534241,166362,AM,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17343,Addiscombe Tram Stop >T<,534147,166316,AC,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17344,Ashburton Road,534064,166227,AN,Lower Addiscombe Road,Croydon,20,Addiscombe,228
17345,Leslie Grove,533182,166266,,Cherry Orchard Road,Croydon,20,Addiscombe,228
17346,Cross Road,532954,166055,E9,Cherry Orchard Road,Croydon,20,Addiscombe,228
17347,Cross Road,532980,166064,E0,Cherry Orchard Road,Croydon,20,Addiscombe,228
17450,Mapledale Avenue,534419,165669,S,Addiscombe Road,Croydon,20,Addiscombe,228
17451,Mapledale Avenue,534361,165676,D,Addiscombe Road,Croydon,20,Addiscombe,228
17452,Sandilands Tram Stop >T<,533875,165756,U,Addiscombe Road,Croydon,20,Addiscombe,228
17453,Sandilands Tram Stop >T<,533803,165770,B,Addiscombe Road,Croydon,20,Addiscombe,228
17853,Woodside Green,534489,167178,WE,Woodside Green,Croydon,20,Addiscombe,228
17854,Woodside Green,534451,167157,WD,Woodside Green,Croydon,20,Addiscombe,228
17855,Blackhorse Lane,534304,166988,WB,Woodside Green,Croydon,20,Addiscombe,228
17856,Blackhorse Lane,534207,166928,WA,Morland Road,Croydon,20,Addiscombe,228
17857,Gordon Crescent,533568,166555,,Morland Road,Croydon,20,Addiscombe,228
17858,Gordon Crescent,533502,166488,,Morland Road,Croydon,20,Addiscombe,228
17859,Lower Addiscombe Road,533334,166364,,Morland Road,Croydon,20,Addiscombe,228
18275,Havelock Road,533966,166184,AB,Lower Addiscombe Road,Croydon,20,Addiscombe,228
18804,Oasis Academy,534793,166655,AH,Shirley Road,Croydon,20,Addiscombe,228
18805,Bingham Road,534913,166378,M,Shirley Road,Croydon,20,Addiscombe,228
18806,Bingham Road,534887,166443,L,Shirley Road,Croydon,20,Addiscombe,228
19719,Birch Tree Way,534692,165758,R,Addiscombe Road,Croydon,20,Addiscombe,228
19800,Oasis Academy,534794,166637,AJ,Shirley Road,Croydon,20,Addiscombe,228
27837,Havelock Road,533850,166150,AP,Lower Addiscombe Road,Croydon,20,Addiscombe,228
BP1143,Alexandra Place,533123,166394,,Davidson Road,Croydon,20,Addiscombe,228
BP1144,Alexandra Place,533144,166514,,Davidson Road,Croydon,20,Addiscombe,228
BP1149,Brampton Road,533546,167078,,Davidson Road,Croydon,20,Addiscombe,228
BP1150,Brampton Road,533584,167130,,Davidson Road,Croydon,20,Addiscombe,228
BP1151,Towpath Way,533746,167329,,Canal Walk,Croydon,20,Addiscombe,228
BP2359,Canning Road,533590,165741,V,Addiscombe Road,Croydon,20,Addiscombe,228
BP2360,Lebanon Road Tram Stop >T<,533403,165746,W,Addiscombe Road,Croydon,20,Addiscombe,228
BP2370,Lebanon Road Tram Stop >T<,533355,165764,A,Addiscombe Road,Croydon,20,Addiscombe,228
BP2400,Burnham Gardens,533758,166647,,Morland Road,Croydon,20,Addiscombe,228
BP2630,Woodside Tram Stop >T<,534800,167105,WN,Spring Lane,Croydon,20,Addiscombe,228
BP934,Leslie Grove,533157,166227,,Cherry Orchard Road,Croydon,20,Addiscombe,228
SL01,Garrick Crescent,533153,165653,M,Park Hill Road,Croydon,20,Addiscombe,228
SL02,Garrick Crescent,533192,165564,D,Park Hill Road,Croydon,20,Addiscombe,228
3299,Queenswood Gardens,540491,186950,R,Aldersbrook Road,Redbridge,14,Aldersbrook,161
3300,Windsor Road,540409,186870,U,Lake House Road,Redbridge,14,Aldersbrook,161
3301,Windsor Road,540424,186902,T,Lake House Road,Redbridge,14,Aldersbrook,161
3305,Queenswood Gardens,540511,186951,B,Aldersbrook Road,Redbridge,14,Aldersbrook,161
9311,Park Road,540943,186862,C,Aldersbrook Road,Redbridge,14,Aldersbrook,161
877,New Road,534648,181307,T,Commercial Road,Tower Hamlets,5,Aldgate,391
943,Whitechapel Stn <> / Royal London Hosp,534670,181782,A,Whitechapel Road,Tower Hamlets,5,Aldgate,391
944,Whitechapel Stn <> # / Royal London Hosp,534804,181849,B,Whitechapel Road,Tower Hamlets,5,Aldgate,391
945,Sidney Street,535018,181906,F,Mile End Road,Tower Hamlets,5,Aldgate,391
946,Darling Row,534973,182040,R,Cambridge Heath Road,Tower Hamlets,5,Aldgate,391
1858,London Metropolitan University,534253,181330,P,Commercial Road,Tower Hamlets,5,Aldgate,391
2043,Adler Street,534249,181596,K,Whitechapel Road,Tower Hamlets,5,Aldgate,391
2045,The East London Mosque,534364,181656,K,Whitechapel Road,Tower Hamlets,5,Aldgate,391
2046,The East London Mosque,534388,181684,J,Whitechapel Road,Tower Hamlets,5,Aldgate,391
2051,Booth Memorial,535098,181950,G,Mile End Road,Tower Hamlets,5,Aldgate,391
4824,New Road,534526,181328,Q,Commercial Road,Tower Hamlets,5,Aldgate,391
13490,Brushfield Street,533687,181751,,Commercial Street,Tower Hamlets,5,Aldgate,391
13492,Lolesworth Close,533735,181624,Y,Commercial Street,Tower Hamlets,5,Aldgate,391
13493,Lolesworth Close,533768,181586,Z,Commercial Street,Tower Hamlets,5,Aldgate,391
13494,Aldgate East Station <>,533856,181395,F,Commercial Street,Tower Hamlets,5,Aldgate,391
13495,Aldgate East Station <>,533865,181411,C,Commercial Street,Tower Hamlets,5,Aldgate,391
13614,Darling Row,534962,182052,M,Cambridge Heath Road,Tower Hamlets,5,Aldgate,391
20401,London Metropolitan University,534352,181309,U,Commercial Road,Tower Hamlets,5,Aldgate,391
29637,Cambridge Heath Road,534870,181874,E,Whitechapel Road,Tower Hamlets,5,Aldgate,391
33431,Aldgate East Station <>,533916,181382,E,Whitechapel High Street,Tower Hamlets,5,Aldgate,391
33683,Aldgate Station <>,533689,181224,R,Aldgate High Street,City of London,0,Aldgate,391
34190,St Botolph Street,533660,181315,B,St Botolph Street,City of London,0,Aldgate,391
36688,Aldgate Bus Station,533653,181194,L,Aldgate Bus Station,City of London,0,Aldgate,391
37124,Brushfield Street,533705,181726,,Commercial Street,Tower Hamlets,5,Aldgate,391
BP2341,Commercial Road,534596,181203,A,Cannon Street Road,Tower Hamlets,5,Aldgate,391
BP2342,Royal London Hospital,534537,181536,L,New Road,Tower Hamlets,5,Aldgate,391
BP2343,Old Montague Street,534437,181896,U,Vallance Road,Tower Hamlets,5,Aldgate,391
BP2347,Royal London Hospital,534530,181627,H,New Road,Tower Hamlets,5,Aldgate,391
BP2593,Underwood Road,534409,182027,T,Vallance Road,Tower Hamlets,5,Aldgate,391
BP2594,Commercial Road,534596,181255,B,Cannon Street Road,Tower Hamlets,5,Aldgate,391
BP3571,Cavell Street,534872,181737,W,Cavell Street,Tower Hamlets,5,Aldgate,391
BP5244,Aldgate East Station <>,533791,181284,J,Whitechapel High Street,Tower Hamlets,5,Aldgate,391
BP5408,Adler Street,534080,181496,D,Whitechapel Road,Tower Hamlets,5,Aldgate,391
BP5998,Aldgate Station <>,533691,181242,D,Aldgate High Street,City of London,0,Aldgate,391
BP6052,Aldgate East Station <>,534000,181364,H,Commercial Road,Tower Hamlets,5,Aldgate,391
16018,Albert Road,529497,190857,,Durnsford Road,Haringey,31,Alexandra Palace,375
18885,Alexandra Palace Station #,530343,190478,G,Station Road,Haringey,31,Alexandra Palace,375
18886,Alexandra Palace Station #,530302,190516,L,Buckingham Road,Haringey,31,Alexandra Palace,375
18887,Palace Gates Road,530205,190496,M,Bedford Road,Haringey,31,Alexandra Palace,375
18888,Palace Gates Road,530181,190517,F,Bedford Road,Haringey,31,Alexandra Palace,375
14827,Glacier Way,518082,183457,E,Ealing Road,Brent,28,Alperton,212
14828,Vicars Bridge Close,518164,183263,F,Ealing Road,Brent,28,Alperton,212
14830,Quill Street,518252,183129,D,Hanger Lane,Ealing,27,Alperton,212
14832,Vicar'S Bridge,518247,183169,T,Hanger Lane,Ealing,27,Alperton,212
14833,Alperton Station <>,518079,183810,B,Ealing Road,Brent,28,Alperton,212
14840,Glacier Way,518064,183459,G,Ealing Road,Brent,28,Alperton,212
15950,Alperton Station <>,518067,183776,A,Ealing Road,Brent,28,Alperton,212
17254,Alperton Station <>,517897,183747,D,Bridgewater Road,Brent,28,Alperton,212
17255,Alperton Station <>,517910,183761,C,Bridgewater Road,Brent,28,Alperton,212
26518,Aintree Road,516990,183689,K,Bilton Road,Ealing,27,Alperton,212
26520,Lee Road,517206,183658,L,Bilton Road,Ealing,27,Alperton,212
26521,Lee Road,517152,183656,PB,Bilton Road,Ealing,27,Alperton,212
26522,Brooklands Drive,517467,183637,M,Bilton Road,Ealing,27,Alperton,212
26523,Brooklands Drive,517551,183628,PA,Bilton Road,Ealing,27,Alperton,212
BP043,Athlon Road,517820,183476,L,Glacier Way,Brent,28,Alperton,212
BP1624,Manor Farm Road,517592,183506,M,Manor Farm Road,Brent,28,Alperton,212
BP1625,Manor Farm Road,517600,183542,N,Manor Farm Road,Brent,28,Alperton,212
CW60,Alperton Sainsbury'S,517854,183490,H,Glacier Way,Brent,28,Alperton,212
CW61,Alperton Sainsbury'S,517837,183490,K,Glacier Way,Brent,28,Alperton,212
6587,Seymour Villas,534646,169771,D,Anerley Road,Bromley,19,Anerley,9
6594,Seymour Villas,534720,169676,Y,Anerley Road,Bromley,19,Anerley,9
6595,Anerley Road / Anerley Station #,534540,169869,H,Anerley Road,Bromley,19,Anerley,9
20750,Anerley Road / Anerley Station #,534535,169890,C,Anerley Road,Bromley,19,Anerley,9
20751,Anerley Park,534401,170017,J,Anerley Road,Bromley,19,Anerley,9
BP2196,Castledine Road,534550,170284,P,Anerley Park,Bromley,19,Anerley,9
BP2197,Castledine Road,534496,170210,N,Anerley Park,Bromley,19,Anerley,9
BP2198,Anerley Park / Anerley Road,534461,170026,M,Anerley Park,Bromley,19,Anerley,9
BP2199,Anerley Park / Anerley Road,534464,169974,R,Anerley Park,Bromley,19,Anerley,9
BP3690,Anerley Station #,534611,169877,G,Anerley Station Road,Bromley,19,Anerley,9
BP3694,Anerley Station #,534628,169886,F,Anerley Station Road,Bromley,19,Anerley,9
BP4094,Jasmine Grove,534705,169932,E,Anerley Station Road,Bromley,19,Anerley,9
3195,Barnet Way / Apex Corner,521035,192799,D,Watford Way (Barnet By-Pass),Barnet,30,Apex Corner,56
3196,Apex Corner,520988,192795,K,Watford Way (Barnet By-Pass),Barnet,30,Apex Corner,56
16455,Glendor Gardens,520862,192785,U,Selvage Lane,Barnet,30,Apex Corner,56
16457,Apex Corner,520913,192991,E,Barnet Way (Barnet By-Pass),Barnet,30,Apex Corner,56
16458,Apex Corner,520945,193000,J,Barnet Way (Barnet By-Pass),Barnet,30,Apex Corner,56
16459,The Fairway,520949,193427,H,Barnet Way (Barnet By-Pass),Barnet,30,Apex Corner,56
16460,The Fairway,520918,193446,F,Barnet Way (Barnet By-Pass),Barnet,30,Apex Corner,56
19147,Mill Hill / The Rising Sun,521832,193485,,Highwood Hill,Barnet,30,Apex Corner,56
19148,Mill Hill / The Rising Sun,521863,193505,,Highwood Hill,Barnet,30,Apex Corner,56
OC750,Marsh Hill / Marsh Lane,521305,193202,,Marsh Lane,Barnet,30,Apex Corner,56
12199,Brickfield Lane,521749,195210,C,Barnet Road,Barnet,30,Arkley,80
12200,Brickfield Lane,521733,195182,F,Barnet Road,Barnet,30,Arkley,80
12201,Glebe Lane,522155,195564,,Barnet Road,Barnet,30,Arkley,80
18104,Glebe Lane,522132,195563,,Barnet Road,Barnet,30,Arkley,80
18105,Rowley Green Road,522385,195758,,Barnet Road,Barnet,30,Arkley,80
18106,Rowley Green Road,522483,195826,,Barnet Road,Barnet,30,Arkley,80
1605,Bowes Road,530141,192043,GJ,Brownlow Road,Enfield,32,Arnos Grove,303
1606,Brownlow Road,530043,192189,GR,Bowes Road,Enfield,32,Arnos Grove,303
15425,Arnos Grove Station <>,529328,192468,T,Arnos Grove Station Forecourt,Enfield,32,Arnos Grove,303
15426,Warwick Road,530006,192180,GQ,Bowes Road,Enfield,32,Arnos Grove,303
15427,Telford Road,529812,192302,GP,Bowes Road,Enfield,32,Arnos Grove,303
16016,Bowes Road,530151,192043,GK,Brownlow Road,Enfield,32,Arnos Grove,303
16778,Westminster Drive,530192,192185,GT,Powys Lane,Enfield,32,Arnos Grove,303
16781,Broomfield Lane,530286,192464,,Powys Lane,Enfield,32,Arnos Grove,303
16782,Broomfield Lane,530298,192469,,Powys Lane,Enfield,32,Arnos Grove,303
25369,York Road,530093,191837,GN,Brownlow Road,Enfield,32,Arnos Grove,303
34329,Pymmes Road,530412,192065,GY,Bowes Road,Enfield,32,Arnos Grove,303
BP2598,Westminster Drive,530193,192216,GS,Powys Lane,Enfield,32,Arnos Grove,303
BP4847,Arnos Grove Swimming Pool,529566,192416,,Bowes Road,Enfield,32,Arnos Grove,303
BP4848,Ravenscraig Road,529154,192468,C,Bowes Road,Enfield,32,Arnos Grove,303
BP4890,Arnos Grove Station <>,529367,192442,A,Bowes Road,Enfield,32,Arnos Grove,303
BP5100,Arnos Grove Station <>,529307,192445,B,Bowes Road,Enfield,32,Arnos Grove,303
16672,Riefield Road,544576,174505,AK,Bexley Road,Greenwich,6,Avery HIll,88
16676,Blackfen Road / Boundary Road,545207,174499,,Blackfen Road,Bexley,18,Avery HIll,88
19721,Rennets Wood Road,544927,174472,AL,Bexley Road,Greenwich,6,Avery HIll,88
19722,Rennets Wood Road,544837,174454,AM,Bexley Road,Greenwich,6,Avery HIll,88
25762,Avery Hill / Riefield Road,544541,174625,AW,Riefield Road,Greenwich,6,Avery HIll,88
695,North Street,543997,184122,P,London Road,Barking and Dagenham,16,Barking,347
1216,Faircross,545205,185030,BB,Longbridge Road,Barking and Dagenham,16,Barking,347
1217,Faircross,545198,185007,BP,Longbridge Road,Barking and Dagenham,16,Barking,347
4284,Blake Avenue,545380,183925,Y,Ripple Road,Barking and Dagenham,16,Barking,347
4285,Blake Avenue,545414,183941,D,Ripple Road,Barking and Dagenham,16,Barking,347
9539,Barking Town Centre,544231,184187,D,London Road,Barking and Dagenham,16,Barking,347
9540,Barking Town Centre,544264,184195,E,London Road,Barking and Dagenham,16,Barking,347
9544,Longbridge Road,544497,184586,R,Fanshawe Avenue,Barking and Dagenham,16,Barking,347
9646,Park Avenue,544667,184579,WB,Longbridge Road,Barking and Dagenham,16,Barking,347
15504,Park Avenue,544661,184592,EB,Longbridge Road,Barking and Dagenham,16,Barking,347
15505,Hulse Avenue / Barking Park,544870,184769,BR,Longbridge Road,Barking and Dagenham,16,Barking,347
15507,Thurlestone Avenue,545661,185358,UE,Longbridge Road,Redbridge,14,Barking,347
15508,Thurlestone Avenue,545681,185355,UG,Longbridge Road,Barking and Dagenham,16,Barking,347
15509,Capel Gardens,545892,185495,UF,Longbridge Road,Redbridge,14,Barking,347
15510,Capel Road,545986,185519,UD,Longbridge Road,Barking and Dagenham,16,Barking,347
18393,King Edwards Road,544724,183764,V,Ripple Road,Barking and Dagenham,16,Barking,347
18394,King Edwards Road,544811,183777,W,Ripple Road,Barking and Dagenham,16,Barking,347
19315,Greatfields Park,545163,183521,P,Movers Lane,Barking and Dagenham,16,Barking,347
19316,Greatfields Park,545183,183471,N,Movers Lane,Barking and Dagenham,16,Barking,347
20499,Tudor Road,545615,183950,X,Ripple Road,Barking and Dagenham,16,Barking,347
20500,Tudor Road,545764,183964,E,Ripple Road,Barking and Dagenham,16,Barking,347
