Station,Local authority,connectivity
Castle Bar Park,Ealing,1.0000799737911896
Hanger Lane,Ealing,1.010170263743374
Crossharbour,Tower Hamlets,1.005833022292327
Woolwich Arsenal DLR,Greenwich,1.0104896175665734
Osterley,Hounslow,1.0065667513112029
Leytonstone,Waltham Forest,1.0462779380240994
Brondesbury Park,Brent,1.000897146298935
Bromley By Bow,Tower Hamlets,1.007672784268514
South Quay,Tower Hamlets,1.0067987620822239
London Bridge,Southwark,1.111657483777462
Kings Cross St Pancras,Camden,1.1333099636661947
Maida Vale,City of Westminster,1.0135953298975267
Newbury Park,Redbridge,1.017794222400792
Edgware,City of Westminster,1.0128029578983524
Heathrow Term 4,Hillingdon,1.0020926146076574
St Johns Wood,City of Westminster,1.018628978399709
Imperial Wharf,Hammersmith and Fulham,1.0011898312658554
Belsize Park,Camden,1.02322030661861
South Greenford,Ealing,1.0000439702624415
Russell Square,Camden,1.0232053717919325
East Ham,Newham,1.039545813103035
Heathrow Term 5,Hillingdon,1.0042765866788783
Rainham Essex,Havering,1.0040672483754072
Upney,Barking and Dagenham,1.00972366638652
Canonbury,Islington,1.0016853270206982
Grange Hill,Redbridge,1.0030611290552516
West Finchley,Barnet,1.006757607848991
Archway,Islington,1.0215456783697645
Upminster,Havering,1.0366522686909236
Bounds Green,Haringey,1.0157205554260247
High Barnet,Barnet,1.0069413383390322
Roding Valley,Epping Forest,1.0008949223510912
South Hampstead,Camden,1.0004499431520744
Sloane Square,Kensington and Chelsea,1.0595110492989164
Moor Park,Three Rivers,1.0040111794207738
Alperton,Brent,1.0065686965380736
Upminster Bridge,Havering,1.004702878821386
Plaistow,Newham,1.018122958769549
Clapham North,Lambeth,1.0282393042400455
London Fields,Hackney,1.0019020313248248
Ilford,Redbridge,1.0047079813899638
High Street Kens,Kensington and Chelsea,1.0298470697853492
Hounslow Central,Hounslow,1.0101606037183353
Greenwich DLR,Greenwich,1.0016513103318512
South Ruislip,Hillingdon,1.007105340534586
Northolt Park,Ealing,1.0001484518738057
Hanwell,Ealing,1.0004945147335134
East Finchley,Barnet,1.0234254596840044
Gallions Reach,Newham,1.0009904758182688
Turnpike Lane,Haringey,1.0243611952340128
Watford Junction,Watford,1.007545418207458
Kilburn,Brent,1.0215272686348995
Warwick Avenue,City of Westminster,1.0179136341156987
Ealing Common,Ealing,1.0069273196719926
Burnt Oak,Barnet,1.0089656191632712
Forest Hill,Lewisham,1.0001706221415676
Cyprus,Newham,1.0028453377195414
West Silvertown,Newham,1.0024326861511437
Hendon Central,Barnet,1.0169619818477929
Mill Hill East,Barnet,1.0026689730723266
Tower Gateway,City of London,1.019448156901161
Hackney Central,Hackney,1.0040880717481493
Homerton,Hackney,1.0033949780370475
Angel,Islington,1.0506171873016086
Borough,Southwark,1.0121088402454304
Acton Central,Ealing,1.0014137666507081
Finchley Rd & Frognal,Camden,1.001238528205223
Chancery Lane,City of London,1.3450602599134607
Rectory Road,Hackney,1.0019241870667648
Rickmansworth,Three Rivers,1.0084192534157386
Amersham,Chiltern,1.011148186706703
Arnos Grove,Enfield,1.010137885549974
Finchley Road,Camden,1.0354829999073227
Chiswick Park,Ealing,1.0053525868314757
Northfields,Ealing,1.0090242908049376
Colindale,Barnet,1.0117392666914942
Woodford,Redbridge,1.0342211089109163
West Harrow,Harrow,1.003393126076202
Debden,Epping Forest,1.010425368243346
Tooting Bec,Wandsworth,1.0236777595044584
Tottenham Court Road,City of Westminster,1.125101327835461
Romford,Havering,1.0053307411890544
Southgate,Enfield,1.0129393143395304
Wembley Park,Brent,1.0243208061518725
Brockley,Lewisham,1.0000352020876235
Clapham Common,Lambeth,1.042082227552137
North Wembley,Brent,1.0028907946411005
Leicester Square,City of Westminster,1.05957450155883
South Croydon,Croydon,1.0001128856588846
Cockfosters,Enfield,1.0041023262946551
Wembley Central,Brent,1.0078109484431201
Caledonian Road & Barnsbury,Islington,1.0009857750375437
Pudding Mill Lane,Newham,1.0016024322726838
Kentish Town,Camden,1.0205122861226763
Bushey,Watford,1.002776696384264
City Thameslink,City of London,1.0132435653503251
Stoke Newington,Hackney,1.0043701025704703
Waterloo,Lambeth,1.1046593582440085
Croxley,Three Rivers,1.0041027860820422
Lewisham DLR,Lewisham,1.004471410067772
Seven Sisters,Haringey,1.0243755165232038
Bethnal Green NR,Tower Hamlets,1.0006287357135357
Chesham,Chiltern,1.0020320165617829
Hampstead,Camden,1.0163228824406982
Barking,Barking and Dagenham,1.0479304732296721
Cutty Sark,Greenwich,1.004840482485375
